,name,ari,silhouette,homogeneity,dim
4,SpectralClustering,"{'fit_time': 15.324583292007446, 'best_score': 0.011079310983652018, 'best_params': {'n_clusters': 4, 'eigen_solver': 'amg'}}","{'fit_time': 30.250604391098022, 'best_score': 0.691849779964353, 'best_params': {'n_clusters': 2, 'eigen_solver': 'amg'}}","{'fit_time': 11.191345453262329, 'best_score': 0.013521551282170436, 'best_params': {'n_clusters': 10, 'eigen_solver': 'amg'}}",20
5,MyKMeans,"{'fit_time': 0.01138615608215332, 'best_score': 0.011711861463713993, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-05}}","{'fit_time': 0.01138615608215332, 'best_score': 0.5437649012715228, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-05}}","{'fit_time': 0.18986225128173828, 'best_score': 0.012686128344091805, 'best_params': {'n_clusters': 10, 'max_iter': 500, 'tol': 1e-05}}",20
0,AgglomerativeClustering,"{'fit_time': 1.5962135791778564, 'best_score': 0.011660489980421376, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'average'}}","{'fit_time': 1.630077600479126, 'best_score': 0.5510956040607105, 'best_params': {'n_clusters': 2, 'compute_full_tree': False, 'linkage': 'ward'}}","{'fit_time': 1.5549695491790771, 'best_score': 0.012660975297745824, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'ward'}}",40
1,AgglomerativeClustering,"{'fit_time': 1.6127629280090332, 'best_score': 0.011660489980421376, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'average'}}","{'fit_time': 1.5779504776000977, 'best_score': 0.5510956040607105, 'best_params': {'n_clusters': 2, 'compute_full_tree': False, 'linkage': 'ward'}}","{'fit_time': 1.5628671646118164, 'best_score': 0.012660975297745824, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'ward'}}",40
2,DBSCAN,"{'fit_time': 0.27424168586730957, 'best_score': 0.0010645459688725992, 'best_params': {'eps': 0.5, 'min_samples': 15, 'algorithm': 'kd_tree'}}","{'fit_time': 1.461970567703247, 'best_score': 0.6966643052558673, 'best_params': {'eps': 10, 'min_samples': 5, 'algorithm': 'kd_tree'}}","{'fit_time': 0.2773575782775879, 'best_score': 0.008542511659202506, 'best_params': {'eps': 0.5, 'min_samples': 5, 'algorithm': 'kd_tree'}}",40
3,KMeans,"{'fit_time': 0.11761617660522461, 'best_score': 0.011711861463713993, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-06}}","{'fit_time': 0.11761617660522461, 'best_score': 0.5338108639277965, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-06}}","{'fit_time': 0.12343454360961914, 'best_score': 0.012875713301539651, 'best_params': {'n_clusters': 10, 'max_iter': 500, 'tol': 1e-06}}",40
4,SpectralClustering,"{'fit_time': 14.253921747207642, 'best_score': 0.01265371896972598, 'best_params': {'n_clusters': 7, 'eigen_solver': 'amg'}}","{'fit_time': 41.51683712005615, 'best_score': 0.7101521230538334, 'best_params': {'n_clusters': 2, 'eigen_solver': 'amg'}}","{'fit_time': 13.370809316635132, 'best_score': 0.012756444869305989, 'best_params': {'n_clusters': 10, 'eigen_solver': 'amg'}}",40
5,MyKMeans,"{'fit_time': 0.02179098129272461, 'best_score': 0.011711861463713993, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-05}}","{'fit_time': 0.02179098129272461, 'best_score': 0.5338108639277965, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-05}}","{'fit_time': 0.3350834846496582, 'best_score': 0.012686128344091805, 'best_params': {'n_clusters': 10, 'max_iter': 500, 'tol': 1e-05}}",40
0,AgglomerativeClustering,"{'fit_time': 1.680147647857666, 'best_score': 0.010345862722899087, 'best_params': {'n_clusters': 2, 'compute_full_tree': False, 'linkage': 'ward'}}","{'fit_time': 1.8038349151611328, 'best_score': 0.6068687972521651, 'best_params': {'n_clusters': 2, 'compute_full_tree': False, 'linkage': 'average'}}","{'fit_time': 1.724773645401001, 'best_score': 0.01350185739371683, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'ward'}}",50
1,AgglomerativeClustering,"{'fit_time': 1.7070496082305908, 'best_score': 0.010345862722899087, 'best_params': {'n_clusters': 2, 'compute_full_tree': False, 'linkage': 'ward'}}","{'fit_time': 1.9160740375518799, 'best_score': 0.6068687972521651, 'best_params': {'n_clusters': 2, 'compute_full_tree': False, 'linkage': 'average'}}","{'fit_time': 1.758028507232666, 'best_score': 0.01350185739371683, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'ward'}}",50
2,DBSCAN,"{'fit_time': 0.34455108642578125, 'best_score': 0.0010760701862357754, 'best_params': {'eps': 0.5, 'min_samples': 5, 'algorithm': 'kd_tree'}}","{'fit_time': 2.0218262672424316, 'best_score': 0.6956513576363629, 'best_params': {'eps': 10, 'min_samples': 5, 'algorithm': 'kd_tree'}}","{'fit_time': 0.34455108642578125, 'best_score': 0.008503475284439102, 'best_params': {'eps': 0.5, 'min_samples': 5, 'algorithm': 'kd_tree'}}",50
